"age","government_work","education","marital_status","occupation","relationship","ethnicity","gender","capital_gain","capital_loss","hours_per_week","income","country"
39,"State gov","Bachelors","Never married","Adm clerical","Not in family","White","Male",2174,0,40,"<=50K","United States"
50,"Self emp not inc","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",0,0,13,"<=50K","United States"
38,"Private","HS to grad","Divorced","Handlers cleaners","Not in family","White","Male",0,0,40,"<=50K","United States"
53,"Private","11th","Married civ spouse","Handlers cleaners","Husband","Black","Male",0,0,40,"<=50K","United States"
37,"Private","Masters","Married civ spouse","Exec managerial","Wife","White","Female",0,0,40,"<=50K","United States"
52,"Self emp not inc","HS to grad","Married civ spouse","Exec managerial","Husband","White","Male",0,0,45,">50K","United States"
31,"Private","Masters","Never married","Prof specialty","Not in family","White","Female",14084,0,50,">50K","United States"
42,"Private","Bachelors","Married civ spouse","Exec managerial","Husband","White","Male",5178,0,40,">50K","United States"
37,"Private","Some to college","Married civ spouse","Exec managerial","Husband","Black","Male",0,0,80,">50K","United States"
23,"Private","Bachelors","Never married","Adm clerical","Own child","White","Female",0,0,30,"<=50K","United States"
32,"Private","Assoc to acdm","Never married","Sales","Not in family","Black","Male",0,0,50,"<=50K","United States"
25,"Self emp not inc","HS to grad","Never married","Farming fishing","Own child","White","Male",0,0,35,"<=50K","United States"
32,"Private","HS to grad","Never married","Machine op inspct","Unmarried","White","Male",0,0,40,"<=50K","United States"
38,"Private","11th","Married civ spouse","Sales","Husband","White","Male",0,0,50,"<=50K","United States"
43,"Self emp not inc","Masters","Divorced","Exec managerial","Unmarried","White","Female",0,0,45,">50K","United States"
40,"Private","Doctorate","Married civ spouse","Prof specialty","Husband","White","Male",0,0,60,">50K","United States"
54,"Private","HS to grad","Separated","Other service","Unmarried","Black","Female",0,0,20,"<=50K","United States"
35,"Federal gov","9th","Married civ spouse","Farming fishing","Husband","Black","Male",0,0,40,"<=50K","United States"
43,"Private","11th","Married civ spouse","Transport moving","Husband","White","Male",0,2042,40,"<=50K","United States"
59,"Private","HS to grad","Divorced","Tech support","Unmarried","White","Female",0,0,40,"<=50K","United States"
56,"Local gov","Bachelors","Married civ spouse","Tech support","Husband","White","Male",0,0,40,">50K","United States"
19,"Private","HS to grad","Never married","Craft repair","Own child","White","Male",0,0,40,"<=50K","United States"
39,"Private","HS to grad","Divorced","Exec managerial","Not in family","White","Male",0,0,80,"<=50K","United States"
49,"Private","HS to grad","Married civ spouse","Craft repair","Husband","White","Male",0,0,40,"<=50K","United States"
23,"Local gov","Assoc to acdm","Never married","Protective serv","Not in family","White","Male",0,0,52,"<=50K","United States"
20,"Private","Some to college","Never married","Sales","Own child","Black","Male",0,0,44,"<=50K","United States"
45,"Private","Bachelors","Divorced","Exec managerial","Own child","White","Male",0,1408,40,"<=50K","United States"
30,"Federal gov","Some to college","Married civ spouse","Adm clerical","Own child","White","Male",0,0,40,"<=50K","United States"
22,"State gov","Some to college","Married civ spouse","Other service","Husband","Black","Male",0,0,15,"<=50K","United States"
21,"Private","Some to college","Never married","Machine op inspct","Own child","White","Male",0,0,40,"<=50K","United States"
